"","1"
"student",4207
"performance",1291
"factors",548
"economic",498
"academic",478
"test",450
"school",438
"business",399
"gender",384
"data",354
"impact",351
"perceptions",350
"exam",347
"undergraduate",343
"modeling",325
"college",324
"relationship",320
"influence",306
"scores",303
"majors",284
"grade",279
"class",269
"satisfaction",262
"variables",250
"behavior",244
"characteristics",238
"grades",236
"attitudes",216
"survey",199
"motivation",196
"measures",191
"choice",191
"group",182
"average",174
"time",164
"personality",161
"achievement",159
"evidence",157
"success",155
"sample",155
"female",151
"control",137
"measure",134
"regression",129
"intentions",127
"empirical",126
"age",123
"financial",121
"male",117
"attendance",114
"ability",113
"introductory",111
"women",111
"cheating",109
"statistics",108
"gpa",105
"intention",105
"score",102
"enrolled",102
"accounting",98
"principles",96
"cognitive",96
"questions",95
"statistical",94
"literacy",93
"experience",92
"future",90
"examination",90
"demographic",89
"assessment",81
"decision",80
"universities",78
"literature",77
"assess",75
"structural",75
"controlling",74
"semester",74
"perception",73
"researchers",72
"degree",71
"behavioral",71
"quantitative",69
"interest",68
"types",68
"predictors",68
"relationships",66
"beliefs",66
"hours",66
"terms",64
"role",63
"mba",63
"pre",63
"undergraduates",63
"reasons",62
"evaluations",62
"variable",59
"predicted",59
"predictor",58
"retention",55
"credit",55
