"","7"
"leadership",2264
"organizational",556
"development",549
"service",380
"community",261
"participants",242
"personal",211
"behavior",203
"program",200
"change",182
"experiences",180
"educator",175
"emotional",172
"training",162
"intelligence",147
"modeling",144
"relationships",138
"leader",132
"individual",127
"role",118
"life",113
"theory",106
"work",104
"practices",104
"social",104
"identity",104
"future",98
"youth",98
"roles",97
"group",95
"activities",94
"relationship",92
"understanding",91
"women",87
"education",81
"impact",80
"individuals",79
"college",79
"values",79
"mentoring",78
"trust",77
"diversity",77
"members",76
"engagement",76
"practice",75
"action",74
"opportunities",72
"workplace",70
"transformational",69
"experiential",67
"emotions",67
"communities",66
"culture",65
"spiritual",61
"themes",58
"challenge",58
"process",56
"followers",55
"employees",53
"qualitative",52
"challenges",52
"theoretical",51
"context",50
"coaching",50
"followership",50
"organization",49
"literature",48
"power",46
"framework",45
"influence",45
"interviews",43
"reflection",43
"agricultural",43
"stress",42
"scholarship",42
"critical",41
"participation",41
"executive",40
"character",40
"skills",39
"success",39
"person",39
"developmental",39
"public",38
"state",38
"skill",38
"curricular",38
"lives",38
"servant",38
"perspective",37
"beliefs",37
"civic",37
"traits",36
"commitment",36
"participant",34
"mentors",34
"actions",34
"growth",33
"volunteer",33
"sharing",33
