"","10"
"student",434
"style",246
"teachers",213
"styles",210
"erp",196
"teaching",180
"preferences",155
"english",124
"scale",118
"instrument",115
"teacher",93
"business",91
"types",90
"survey",89
"questionnaire",77
"hong",71
"kong",71
"attitude",71
"preferred",70
"orientation",67
"participants",67
"ratings",61
"validity",60
"measure",58
"preference",58
"structure",56
"white",55
"educator",54
"data",54
"literature",54
"sample",53
"reliability",53
"dimensions",52
"strategies",52
"inventory",50
"prefer",49
"respondents",49
"individuals",48
"commitment",48
"school",46
"communication",46
"measures",45
"comparisons",45
"profile",44
"measurement",44
"influence",43
"instruction",43
"item",42
"items",41
"profiles",41
"sum",41
"ownership",40
"meta",38
"programmes",36
"index",35
"instruments",35
"patterns",35
"evaluation",34
"rating",33
"question",32
"enterprise",32
"valid",32
"individual",31
"relationships",30
"managers",30
"person",30
"rated",30
"subjective",30
"sports",30
"belief",29
"speaking",29
"true",29
"objective",28
"universities",28
"test",28
"bias",28
"sap",28
"measuring",27
"aid",27
"differently",27
"independent",26
"dominant",26
"samples",25
"analytic",25
"multi",25
"cover",25
"motivations",25
"indicator",24
"managerial",24
"validated",24
"dimension",24
"pattern",23
"working",23
"cluster",23
"degree",22
"medium",22
"mode",22
"persons",22
"clusters",22
"categories",22
